kernel32-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x013e   0x013d   0x00008d7b GetCurrentThread
    0x013f   0x013e   0x00008bb8 GetCurrentThreadId
    0x0140   0x013f   0x00035606 GetDateFormatA
    0x0141   0x0140   0x00032b8d GetDateFormatW
    0x0142   0x0141   0x00066e21 GetDefaultCommConfigA
    0x0143   0x0142   0x00066d29 GetDefaultCommConfigW
    0x0144   0x0143   0x0007ae61 GetDefaultSortkeySize
    0x0145   0x0144   0x00060e24 GetDevicePowerState
    0x0146   0x0145   0x0002f6dd GetDiskFreeSpaceA
    0x0147   0x0146   0x0002f78b GetDiskFreeSpaceExA
    0x0148   0x0147   0x00011c93 GetDiskFreeSpaceExW
    0x0149   0x0148   0x0002f59f GetDiskFreeSpaceW
    0x014a   0x0149   0x0005f24f GetDllDirectoryA
    0x014b   0x014a   0x0005f0df GetDllDirectoryW
    0x014c   0x014b   0x000208cb GetDriveTypeA
    0x014d   0x014c   0x0000a760 GetDriveTypeW
    0x014e   0x014d   0x0001c07b GetEnvironmentStrings
    0x014f   0x014e   0x0001c07b GetEnvironmentStringsA
    0x0150   0x014f   0x00012398 GetEnvironmentStringsW
    0x0151   0x0150   0x00013f82 GetEnvironmentVariableA
    0x0152   0x0151   0x0000e584 GetEnvironmentVariableW
    0x0153   0x0152   0x00019f3b GetExitCodeProcess
    0x0154   0x0153   0x0002081d GetExitCodeThread
    0x0155   0x0154   0x00064fa7 GetExpandedNameA
    0x0156   0x0155   0x00065054 GetExpandedNameW
    0x0157   0x0156   0x000109cc GetFileAttributesA
    0x0158   0x0157   0x00012c41 GetFileAttributesExA
    0x0159   0x0158   0x00010585 GetFileAttributesExW
    0x015a   0x0159   0x0000abdc GetFileAttributesW
    0x015b   0x015a   0x000100fd GetFileInformationByHandle
    0x015c   0x015b   0x0000ff07 GetFileSize
    0x015d   0x015c   0x0000fe99 GetFileSizeEx
    0x015e   0x015d   0x00031035 GetFileTime
    0x015f   0x015e   0x000102e1 GetFileType
    0x0160   0x015f   0x0005e83c GetFirmwareEnvironmentVariableA
    0x0161   0x0160   0x0005e725 GetFirmwareEnvironmentVariableW
    0x0162   0x0161   0x00012d8c GetFullPathNameA
    0x0163   0x0162   0x0000ace2 GetFullPathNameW
    0x0164   0x0163   0x00075c62 GetGeoInfoA
    0x0165   0x0164   0x00078c67 GetGeoInfoW
    0x0166   0x0165   0x0006ba63 GetHandleContext
    0x0167   0x0166   0x0002b1ad GetHandleInformation
    0x0168   0x0167   0x00074a51 GetLargestConsoleWindowSize
    0x0169   0x0168   0x000084bf GetLastError
    0x016a   0x0169   0x0007ae8b GetLinguistLangSize
    0x016b   0x016a   0x00009c64 GetLocalTime
    0x016c   0x016b   0x0000c6f2 GetLocaleInfoA
    0x016d   0x016c   0x000109f2 GetLocaleInfoW
    0x016e   0x016d   0x0002b6cb GetLogicalDriveStringsA
    0x016f   0x016e   0x000606d7 GetLogicalDriveStringsW
    0x0170   0x016f   0x0002ff04 GetLogicalDrives
    0x0171   0x0170   0x00061097 GetLogicalProcessorInformation
    0x0172   0x0171   0x00068966 GetLongPathNameA
    0x0173   0x0172   0x000127e3 GetLongPathNameW
    0x0174   0x0173   0x0005ee60 GetMailslotInfo
    0x0175   0x0174   0x0000a95f GetModuleFileNameA
    0x0176   0x0175   0x0000a865 GetModuleFileNameW
    0x0177   0x0176   0x0000ab31 GetModuleHandleA
    0x0178   0x0177   0x0005f2ee GetModuleHandleExA
    0x0179   0x0178   0x0001f0a9 GetModuleHandleExW
    0x017a   0x0179   0x0000d8cd GetModuleHandleW
    0x017b   0x017a   0x0005fff3 GetNamedPipeHandleStateA
    0x017c   0x017b   0x0005fd8d GetNamedPipeHandleStateW
    0x017d   0x017c   0x0005fb92 GetNamedPipeInfo
    0x017e   0x017d   0x00036d5d GetNativeSystemInfo
    0x017f   0x017e   0x00067323 GetNextVDMCommand
    0x0180   0x017f   0x0001740d GetNlsSectionName
