kernel32-x86-6.1.7601.23677.dll: PE32 executable (DLL) (32bits) (console) i386 (Fri Feb 10 00:17:35 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0120   0x011e   0x00014113 ExpandEnvironmentStringsW
    0x0121   0x011f   0x000b6ed4 ExpungeConsoleCommandHistoryA
    0x0122   0x0120   0x000b6ebc ExpungeConsoleCommandHistoryW
    0x0123   0x0121   0x00094e11 FatalAppExitA
    0x0124   0x0122   0x00094e21 FatalAppExitW
    0x0125   0x0123   0x00093347 FatalExit
    0x0126   0x0124   0x0002c85d FileTimeToDosDateTime
    0x0127   0x0125   0x0001e266 FileTimeToLocalFileTime
    0x0128   0x0126   0x000153cc FileTimeToSystemTime
    0x0129   0x0127   0x000b79d1 FillConsoleOutputAttribute
    0x012a   0x0128   0x000b7983 FillConsoleOutputCharacterA
    0x012b   0x0129   0x000b79ad FillConsoleOutputCharacterW
    0x012c   0x012a   0x000157ae FindActCtxSectionGuid
    0x012d   0x012b   0x0009e2dd FindActCtxSectionStringA
    0x012e   0x012c   0x0001a6b0 FindActCtxSectionStringW
    0x012f   0x012d   0x0002edcc FindAtomA
    0x0130   0x012e   0x0001309f FindAtomW
    0x0131   0x012f   0x000143e2 FindClose
    0x0132   0x0130   0x0002efbc FindCloseChangeNotification
    0x0133   0x0131   0x00094a0f FindFirstChangeNotificationA
    0x0134   0x0132   0x0002d839 FindFirstChangeNotificationW
    0x0135   0x0133   0x0001e296 FindFirstFileA
    0x0136   0x0134   0x000949ff FindFirstFileExA
    0x0137   0x0135   0x000217d9 FindFirstFileExW
    0x0138   0x0136   0x0008c229 FindFirstFileNameTransactedW
    0x0139   0x0137   0x0008bea1 FindFirstFileNameW
    0x013a   0x0138   0x0008b831 FindFirstFileTransactedA
    0x013b   0x0139   0x0008b8d9 FindFirstFileTransactedW
    0x013c   0x013a   0x000143d5 FindFirstFileW
    0x013d   0x013b   0x0008c185 FindFirstStreamTransactedW
    0x013e   0x013c   0x0008bb04 FindFirstStreamW
    0x013f   0x013d   0x0009b52d FindFirstVolumeA
    0x0140   0x013e   0x0009c7b9 FindFirstVolumeMountPointA
    0x0141   0x013f   0x0009bb38 FindFirstVolumeMountPointW
    0x0142   0x0140   0x00094a1f FindFirstVolumeW
    0x0143   0x0141   0x00094a3f FindNLSString
    0x0144   0x0142   0x00094e71 FindNLSStringEx
    0x0145   0x0143   0x00035c06 FindNextChangeNotification
    0x0146   0x0144   0x0003d56e FindNextFileA
    0x0147   0x0145   0x0008c0f1 FindNextFileNameW
    0x0148   0x0146   0x0001548e FindNextFileW
    0x0149   0x0147   0x0008b981 FindNextStreamW
    0x014a   0x0148   0x0009b659 FindNextVolumeA
    0x014b   0x0149   0x0009c909 FindNextVolumeMountPointA
    0x014c   0x014a   0x0009be7f FindNextVolumeMountPointW
    0x014d   0x014b   0x00094a2f FindNextVolumeW
    0x014e   0x014c   0x0002e9a3 FindResourceA
    0x014f   0x014d   0x0002e8c5 FindResourceExA
    0x0150   0x014e   0x00013239 FindResourceExW
    0x0151   0x014f   0x00015911 FindResourceW
    0x0152   0x0150   0x00094a4f FindStringOrdinal
    0x0153   0x0151   0x00094a5f FindVolumeClose
    0x0154   0x0152   0x0009b4a7 FindVolumeMountPointClose
    0x0155   0x0153   0x00014ecb FlsAlloc
    0x0156   0x0154   0x0001353f FlsFree
    0x0157   0x0155   0x00011252 FlsGetValue
    0x0158   0x0156   0x000141a8 FlsSetValue
    0x0159   0x0157   0x000b8277 FlushConsoleInputBuffer
    0x015a   0x0158   0x0001463b FlushFileBuffers
    0x015b   0x0159   0x00014333 FlushInstructionCache
    0x015c   0x015a   0x000ca3c6 FlushProcessWriteBuffers
    0x015d   0x015b   0x0003b901 FlushViewOfFile
    0x015e   0x015c   0x000a5feb FoldStringA
    0x015f   0x015d   0x0003a780 FoldStringW
    0x0160   0x015e   0x00035fa5 FormatMessageA
    0x0161   0x015f   0x000145c0 FormatMessageW
    0x0162   0x0160   0x000b7290 FreeConsole
